Feature,Levels,IG_Date,CMI,NotMissing,Date_Rank,CMI_Rank
S0_Min,39477,0.00793546155820479,0.0157399689189521,0.569261843958211,9,8
S1_Min,39655,0.00793424825370703,0.0157408529729643,0.569297324512755,10,7
S2_Min,39499,0.00490953547432405,0.00787644055584558,0.287032617611703,11,15
S3_Min,39434,0.00486914143515804,0.00789095578359067,0.282752986913589,14,13
S4_Min,39316,0.00485407044203612,0.00781067828209991,0.283248869902099,16,16
S5_Min,39273,0.00489285515181059,0.00794076780024788,0.286811286533356,12,11
S6_Min,39518,0.00487777192986272,0.0079038137077152,0.286368624376662,13,12
S7_Min,39439,0.00485930794130063,0.00788636027633061,0.283589314270701,15,14
S8_Min,39713,0.00799752553196509,0.0157518772172551,0.569277894685266,8,6
S9_Min,39082,0.00358710238815796,0.00522213412439765,0.190648001642243,21,23
S10_Min,39048,0.00365352408198483,0.00525589245795644,0.189685802794009,19,22
S11_Min,39109,0.00360462092632119,0.00530290115205645,0.190456237692683,20,21
S12_Min,14256,0.00293300452294254,0.00559312039026239,0.204487107464686,23,17
S13_Min,14253,0.00293680236700844,0.00557243670152552,0.204490486565119,22,19
S14_Min,14119,0.00181235541190183,0.00292340795956036,0.10190099742597,34,31
S15_Min,14107,0.00174899018632857,0.00266100236273115,0.10259371301469,38,37
S16_Min,14166,0.00179166167212408,0.00272540163362134,0.100645661615193,35,36
S17_Min,14064,0.00178480332170317,0.00286446798680817,0.103930147235854,36,33
S18_Min,14179,0.00176438089918918,0.00277316826291774,0.102286214875307,37,35
S19_Min,14199,0.00182192013106075,0.00281641591129933,0.102240597019464,33,34
S20_Min,14282,0.00292918758311345,0.00557272375448292,0.204529346220096,24,18
S21_Min,14090,0.00136648692363117,0.00192214033162852,0.0687722967830119,43,38
S22_Min,13985,0.00127354412195402,0.00179640106107026,0.0680897184955907,45,43
S23_Min,13968,0.00130821694462746,0.00185347617698195,0.0678269934369422,44,41
S24.101_Min,1814,0.000326213097384454,0.00040713530288361,0.0201580236317389,76,75
S24.102_Min,1639,0.000306073544461327,0.000403825418361592,0.0199679492323951,83,77
S24.103_Min,1810,0.000322034051389863,0.00040790426811288,0.0201276117278439,80,73
S24.104_Min,1800,0.000320242777865687,0.000400906780774868,0.0201402833544668,82,79
S24.105_Min,1780,0.000322061576293109,0.000402840175060426,0.0201402833544668,79,78
S24.106_Min,1758,0.000324905986493818,0.000407221075114705,0.0201360594789258,78,74
S24.107_Min,1746,0.000325852897878676,0.000404173547025266,0.0201385938042504,77,76
S24.108_Min,1551,0.000215296827208888,0.000239586108127021,0.0101592654511479,89,88
S24.109_Min,1569,0.000171293546319617,0.000170915570524954,0.00999706863037456,97,98
S24.11_Min,1535,0.000191693066861731,0.000199365049232014,0.0100350835102433,95,91
S24.111_Min,1546,0.000189333527121249,0.000201387653217644,0.0100959073180333,96,90
S24.112_Min,1563,0.000302029282913452,0.000385345079068067,0.0201284565029521,84,82
S24.2_Min,1765,0.000391290276009926,0.000538258684806614,0.0229795724931088,71,65
S24.201_Min,1755,0.000395506219813768,0.000537368210506095,0.0229584531154039,70,66
S24.202_Min,2,4.92348739555837E-9,1.12973097543545E-8,8.44775108194572E-7,127,126
S24.203_Min,1739,0.000404605841168859,0.000536336985508257,0.0229787277180006,65,67
S24.204_Min,1727,0.00040210283727049,0.000533932475159205,0.0229753486175678,67,68
S24.205_Min,1721,0.000400085223743574,0.000529479700135838,0.0229753486175678,68,70
S24.206_Min,1713,0.000402811871316189,0.000529985057602822,0.0229753486175678,66,69
S24.207_Min,1593,0.000219405255437621,0.000216755571751825,0.0115235772508822,88,89
S24.208_Min,1615,0.000267447794414011,0.000332051586791948,0.011457684792443,85,85
S24.209_Min,1575,0.000252385158505675,0.000274468244255921,0.0114551504671184,86,86
S24.21_Min,1562,0.000232337082941569,0.000253842501331647,0.0114855623710134,87,87
S24.211_Min,1587,0.000389085262566979,0.000513966052078096,0.022937333737699,72,71
S24.3_Min,8887,0.00242221685657462,0.00356244275384121,0.112276525304816,28,25
S24.301_Min,8836,0.00244393226698314,0.00358279284320329,0.111993525643571,25,24
S24.302_Min,12,1.57553605717453E-7,1.98978166388031E-7,2.70328034622263E-5,125,125
S24.303_Min,8747,0.00243925346101115,0.00355289829160732,0.112277370079924,26,26
S24.304_Min,8713,0.00242232629807582,0.00354602875303733,0.112278214855032,27,27
S24.305_Min,8677,0.00239238120853358,0.00353370120417917,0.112275680529708,30,29
S24.306_Min,8622,0.00239463645036864,0.00354316892366136,0.112275680529708,29,28
S24.307_Min,7799,0.00145529970476765,0.00182137589949782,0.0562476610289192,41,42
S24.308_Min,7856,0.00148097938660463,0.00185377751110316,0.056177544694939,39,40
S24.309_Min,7755,0.00147196080949819,0.001755703417329,0.0561640282932079,40,45
S24.31_Min,7752,0.0014268022973738,0.00176230240353181,0.0561488223412604,42,44
S24.311_Min,7928,0.00230933507134701,0.00346398154037964,0.112289196931439,31,30
S25.1_Min,3896,0.000625848045727295,0.000764380042250323,0.0468562961511201,54,59
S25.101_Min,3840,0.000617857649258369,0.000767056409173961,0.0467067709569697,58,58
S25.102_Min,3843,0.00061747086817654,0.000771983522786179,0.0467118396076189,59,54
S25.103_Min,3837,0.000619729246910339,0.000770063404599952,0.0468157469459268,56,56
S25.104_Min,3852,0.000624729575591232,0.000767107352795726,0.046808143969953,55,57
S25.105_Min,3845,0.000619014244051641,0.000771566895116926,0.046260729699843,57,55
S25.106_Min,3544,0.000377897756379753,0.000395768824963838,0.0236359627521759,74,81
S25.107_Min,3550,0.000388680960044852,0.000374503715300456,0.0232549691783802,73,83
S25.108_Min,3454,0.000352405868211392,0.000347117692398591,0.0231257185868264,75,84
S25.109_Min,3467,0.000399573096458994,0.00043405836204613,0.0234585599794551,69,72
S25.11_Min,3584,0.000604677604531645,0.000762268634129981,0.0464558727498359,60,60
S25.2_Min,129,1.1018500604365E-5,2.01017106249424E-6,0.00105005545948585,124,124
S25.201_Min,392,3.24084959562043E-5,2.26741517863616E-5,0.00305470679123157,118,114
S25.202_Min,580,0.000104334502001535,9.69602758544852E-5,0.00604690022445675,107,102
S25.203_Min,577,0.000109700732624063,9.6939431855958E-5,0.006039297248483,102,103
S25.204_Min,578,0.000108527110198153,9.57189555093052E-5,0.00603676292315841,104,106
S25.205_Min,583,0.000103578747516764,9.37510159024768E-5,0.00603760769826661,108,107
S25.206_Min,525,5.7899692526675E-5,4.51254399891354E-5,0.00302345011222837,112,112
S25.207_Min,513,6.75777023246837E-5,4.79189284847692E-5,0.00303950083928407,110,110
S25.208_Min,492,6.86178486404288E-5,5.08055716013089E-5,0.002926300974786,109,109
S25.209_Min,508,5.98014376738121E-5,4.73530876865524E-5,0.00305386201612338,111,111
S25.21_Min,543,0.000107761744969181,9.64363237123678E-5,0.00596580181407007,105,104
S25.211_Min,922,0.000107237950613737,0.00012488520690912,0.00833286166723126,106,99
S25.212_Min,321,3.15696687795963E-5,1.46972091998876E-5,0.00362999863991208,119,118
S25.213_Min,314,3.32618239085036E-5,1.59067250358191E-5,0.00362999863991208,114,115
S25.214_Min,310,3.24792687607101E-5,1.47093305944424E-5,0.00362915386480388,116,117
S25.215_Min,314,3.27682273066898E-5,1.51981007441293E-5,0.00362830908969569,115,116
S25.216_Min,298,1.47265782981521E-5,6.2209886264597E-6,0.00181373215729375,122,122
S25.217_Min,292,2.12508823729252E-5,1.02923520461928E-5,0.00181964558305111,120,120
S25.218_Min,290,1.99131690976628E-5,7.69209284445793E-6,0.00183147243456583,121,121
S25.219_Min,287,1.4402621385301E-5,5.27297771402147E-6,0.00178838890404791,123,123
S25.22_Min,286,3.24090177237224E-5,1.44712890586263E-5,0.00360550016177443,117,119
S25.221_Min,300,4.43192052621555E-5,3.75453322885022E-5,0.00209250794299795,113,113
S25.222_Min,1206,0.000199357409586654,0.00019397369609564,0.0150184118734831,93,92
S25.223_Min,1199,0.00020384339883428,0.000191523017226913,0.0150192566485913,92,95
S25.224_Min,1194,0.000208837982523136,0.000191264951900472,0.0150167223232667,90,96
S25.225_Min,1204,0.000205841316994082,0.000191844864532165,0.0150175670983749,91,94
S25.226_Min,1130,0.000119519862272099,9.60844147179785E-5,0.00749484475990224,101,105
S25.227_Min,1120,0.000124617826731566,0.0001093885691823,0.0075489103668267,100,100
S25.228_Min,1102,0.000109679708190313,8.94514582894246E-5,0.00743402095211223,103,108
S25.229_Min,1100,0.000137973349035647,0.000108716983226564,0.00758016704582989,99,101
S25.23_Min,1116,0.000197211901925343,0.000193938321078058,0.0150133432228339,94,93
S26_Min,22501,0.00400714672664826,0.00556119698845681,0.191773242086358,17,20
S27_Min,12466,0.00194060651994654,0.00291321066589845,0.101988854037222,32,32
S28_Min,1139,0.000167484651045768,0.000173578849523182,0.00809547986182858,98,97
S29_Min,65875,0.014314402770923,0.0255539669946945,0.94583470961278,3,1
S30_Min,65135,0.0143741457265829,0.0255457674419031,0.945988458682472,2,3
S31_Min,2428,0.000321654252743997,0.000397201429289673,0.0329487635449129,81,80
S32_Min,13645,0.00369002982301936,0.00190275665264306,0.0207333154804194,18,39
S33_Min,65452,0.0135415689622427,0.0239306500924901,0.941666589228948,5,5
S34_Min,65642,0.0136400971008825,0.0242610300258619,0.942023929099715,4,4
S35_Min,64559,0.00850828054161745,0.0123875348899052,0.466407095435089,7,10
S36_Min,64988,0.00899427615596959,0.0131603292742195,0.480704069366174,6,9
S37_Min,65956,0.0145145372715803,0.0255502540976202,0.946480962570549,1,2
S38_Min,12910,0.000820797346335667,0.000808124467366334,0.0229288859866171,46,53
S39_Min,3875,0.000728177143630049,0.00124426057791993,0.0506087871817204,47,46
S40_Min,3901,0.000718175192110593,0.00124086745730878,0.0506138558323696,50,48
S41_Min,3918,0.000720144236758813,0.00123409238369021,0.0506130110572614,49,51
S42_Min,16,7.38527230481623E-8,0,1.26716266229186E-5,126,127
S43_Min,3872,0.000459013508164574,0.000639228061547037,0.0258087243304524,61,61
S44_Min,3824,0.000432719528959069,0.00060659051759604,0.025177677324631,64,64
S45_Min,3846,0.000712675566115095,0.00124273042240652,0.0506290617843171,52,47
S46_Min,2,4.92348739555837E-9,0,8.44775108194572E-7,127,127
S47_Min,3847,0.00072256708177143,0.00123326256670619,0.0506484916118056,48,52
S48_Min,3854,0.000714759688568378,0.00123520491742291,0.0506214588083433,51,50
S49_Min,3768,0.000441805489121094,0.000607953413824802,0.0250670117854575,63,63
S50_Min,3779,0.00045365570382927,0.000637931280955684,0.025646527509679,62,62
S51_Min,3863,0.000708198959872064,0.00123655839076608,0.0505623245507697,53,49
